x;y;z
3,782129;4,074887;8,824042
4,182033;1,623419;8,824042
4,526803;2,350545;-7,052262
3,904849;4,829145;-6,049700
4,526803;4,344401;-8,601912
4,526803;2,359934;-8,601912
4,526803;3,836167;5,326849
4,526803;4,254219;-6,045165
3,904849;1,623419;-9,056599
3,732742;0,979451;8,322783
4,178471;3,713994;8,824042
3,904849;0,979451;-3,417572
3,904849;1,623419;-7,196887
4,526803;1,623419;3,429426
4,347124;1,623419;7,222084
4,360176;2,341036;7,075515
4,458237;3,369284;6,049644
4,526803;3,510504;5,326052
4,526803;3,368690;4,591169
4,526803;2,350545;3,575996
3,849305;0,979451;7,210686
2,419711;4,334385;4,256731
3,905355;4,372440;3,551375
3,904849;0,979451;3,431371
4,526803;3,368690;-6,037090
4,526803;3,510504;-5,302206
4,526803;3,369284;-4,578614
4,526803;2,341036;-3,552743
4,526803;1,623419;-3,406175
4,180031;2,628449;8,824042
3,156786;7,832829;-3,736071
3,156786;7,510612;2,046942
3,904849;4,843650;-4,611828
3,250622;7,386158;-3,451633
3,249405;7,064973;2,230429
2,719429;0,979451;-3,417123
2,719429;1,623419;-7,196887
2,719429;0,979451;7,211135
2,719429;0,979451;3,431371
1,328743;2,934072;-9,056599
1,328743;3,906274;-9,056599
1,328743;2,934072;-8,910164
1,328743;3,906274;-8,910164
1,178099;3,058541;-8,910164
1,178099;3,781805;-8,910164
4,398977;2,955934;6,666920
4,526803;2,955637;3,980431
2,719429;1,623419;3,429426
2,719429;1,623419;7,222084
2,719429;2,341036;7,075515
2,719429;2,955934;6,666920
2,719429;3,510504;5,326052
2,719429;2,955637;3,980431
2,719429;2,350545;3,575996
2,719429;3,369284;6,049644
2,719429;3,368690;4,591169
4,526803;2,955934;-3,961339
4,526803;2,955637;-6,647827
2,719429;1,623419;-7,198832
2,719429;1,623419;-3,406175
2,719429;2,341036;-3,552743
2,719429;2,955934;-3,961339
2,719429;3,510504;-5,302206
2,719429;2,955637;-6,647827
2,719429;2,350545;-7,052262
2,719429;3,369284;-4,578614
2,719429;3,368690;-6,037090
3,323944;4,846495;3,359380
3,825688;4,851155;2,820944
3,241176;5,248960;-5,776828
3,825649;5,020471;-0,346714
3,825688;5,047895;-0,891867
2,839080;6,678166;2,386905
3,324102;6,721993;1,816635
2,768816;7,014489;-4,261814
3,324102;6,845386;-0,348845
3,324102;6,875198;-0,891867
3,825688;5,245335;-3,941135
3,324102;7,009444;-3,126289
2,419711;4,279492;5,326849
4,200168;3,713994;8,648462
4,200168;2,628449;8,648462
-0,006635;3,713994;8,648462
-0,006635;2,628449;8,648462
3,904849;4,362936;-9,056599
3,904849;4,829145;-8,601912
2,724746;2,628449;8,824042
2,438897;2,628449;8,824042
2,177565;3,713994;8,648462
2,432264;2,628449;8,648462
2,470047;3,713994;8,824042
2,184198;3,713994;8,824042
4,526803;4,196573;-4,597469
3,862046;4,279492;5,326849
4,041101;3,563001;8,823182
4,041101;2,765811;8,823182
2,639007;3,563001;8,823182
2,823843;2,765811;8,823182
4,041101;3,563001;8,926309
4,041101;2,765811;8,926309
2,639007;3,563001;8,926309
2,823843;2,765811;8,926309
-0,006635;2,628449;8,648462
2,438897;2,628449;8,824042
2,432264;2,628449;8,648462
4,052382;4,495627;2,733402
4,052382;5,355114;2,733402
5,128808;4,495627;2,733402
5,128808;5,355114;2,733402
4,395640;4,888192;3,240461
4,395640;4,495627;3,240461
4,052382;4,888192;3,240461
4,052382;4,495627;3,240461
4,052382;4,495627;2,910492
5,128808;5,355114;2,910492
4,052382;5,355114;2,910492
5,128808;4,495627;2,910492
4,052382;4,889234;2,910492
3,799908;4,821093;3,316702
3,865204;4,451955;3,297912
3,865281;4,454206;2,910408
3,799986;4,822134;2,910408
4,245414;2,951850;8,176167
4,245414;3,381686;8,176167
4,319219;2,951850;7,459540
4,319219;3,381686;7,459540
4,400729;3,008151;8,110568
4,400729;3,325386;8,110568
4,457717;3,008151;7,556965
4,457717;3,325386;7,556965
4,086484;2,360983;-9,313989
4,654630;2,360983;-8,862351
4,660780;2,360983;-7,792061
4,086484;1,613428;-9,313989
4,654630;1,613428;-8,862351
4,660780;1,613428;-8,094522
4,452747;2,360983;-9,169447
4,452747;1,613428;-9,169447
3,455657;3,905798;-9,207106
3,896210;4,020767;-9,059276
1,725722;4,020767;-9,207106
1,724368;4,020767;-9,059276
3,896210;2,936842;-9,059276
1,900031;2,936842;-9,059276
2,007051;3,064745;-9,207106
3,896210;4,020767;-9,207106
3,765163;3,064745;-9,207106
3,765163;3,905798;-9,207106
3,896210;2,936842;-9,207106
1,900031;2,936842;-9,207106
3,455657;3,905798;-9,324739
1,875644;3,905798;-9,324739
3,765163;3,905798;-9,324739
3,765163;3,064745;-9,324739
2,007051;3,064745;-9,324739
1,875644;3,905798;-9,207106
2,399650;3,064745;-9,324739
2,399650;3,905798;-9,324739
3,455657;3,064745;-9,324739
2,399650;3,905798;-9,207106
3,896210;4,020767;-9,059276
3,455657;3,064745;-9,207106
2,399650;3,064745;-9,207106
4,029542;4,429632;0,836742
4,021749;4,472489;-0,037407
4,323743;4,181148;0,821937
4,323826;4,429970;0,834136
4,315951;4,224004;-0,052212
4,316034;4,472827;-0,040014
4,044633;4,599676;-2,724776
4,033034;4,634149;-3,599253
4,325611;4,336293;-2,738885
4,338524;4,584894;-2,729256
4,314012;4,370767;-3,613364
4,326925;4,619367;-3,603734
-3,782132;4,074887;8,824042
-4,182036;1,623419;8,824042
-4,526807;2,350545;-7,052262
-3,904852;4,829145;-6,049700
-4,526807;4,344401;-8,601912
-4,526807;2,359934;-8,601912
-4,526807;3,836167;5,326849
-4,526807;4,254219;-6,045165
-3,904852;1,623419;-9,056599
-3,732745;0,979451;8,322783
-4,178474;3,713994;8,824042
-0,000002;4,372440;3,551375
-0,000002;4,829145;-6,056858
-0,000002;4,074887;8,824042
-3,904852;0,979451;-3,417572
-3,904852;1,623419;-7,196887
-4,526807;1,623419;3,429426
-4,347128;1,623419;7,222084
-4,360180;2,341036;7,075515
-4,458241;3,369284;6,049644
-4,526807;3,510504;5,326052
-4,526807;3,368690;4,591169
-4,526807;2,350545;3,575996
-3,849308;0,979451;7,210686
-2,419714;4,334385;4,256731
-3,905359;4,372440;3,551375
-3,904852;0,979451;3,431371
-4,526807;3,368690;-6,037090
-4,526807;3,510504;-5,302206
-4,526807;3,369284;-4,578614
-4,526807;2,341036;-3,552743
-4,526807;1,623419;-3,406175
-0,000002;1,623419;-9,056599
-0,000002;0,979451;8,322783
-4,180035;2,628449;8,824042
-0,000002;7,832829;-3,736071
-3,156790;7,832829;-3,736071
-3,156790;7,510612;2,046942
-0,000002;7,510612;2,046942
-0,000002;7,065702;2,225282
-3,904852;4,843650;-4,611828
-3,250625;7,386158;-3,451633
-3,249408;7,064973;2,230429
-2,719433;0,979451;-3,417123
-2,719433;1,623419;-7,196887
-2,719433;0,979451;7,211135
-2,719433;0,979451;3,431371
-0,000002;0,979451;-3,409439
-0,000002;0,979451;3,173435
-0,000002;2,934072;-9,056599
-1,328746;2,934072;-9,056599
-1,328746;3,906274;-9,056599
-0,000002;3,906274;-9,056599
-0,000002;2,934072;-8,910164
-1,328746;2,934072;-8,910164
-1,328746;3,906274;-8,910164
-0,000002;3,906274;-8,910164
-0,000002;3,058541;-8,910164
-1,178103;3,058541;-8,910164
-1,178103;3,781805;-8,910164
-0,000002;3,781805;-8,910164
-4,398981;2,955934;6,666920
-4,526807;2,955637;3,980431
-2,719433;1,623419;3,429426
